NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Jan Andersson,77,M,Sverigedemokraterna,SD
Max Haienhjelm Andreasson,24,M,Sverigedemokraterna,SD
Jessie Johansson,20,K,Sverigedemokraterna,SD
Björn Sandberg,39,M,Sverigedemokraterna,SD
Christer Johansson,68,M,Sverigedemokraterna,SD
Linda Westerlund Snecker,39,K,Vänsterpartiet,V
Rebecca Roxvret,38,K,Vänsterpartiet,V
Emir Ajanovic,55,M,Vänsterpartiet,V
Melinda Kandel,25,K,Vänsterpartiet,V
Daniel Hermansson,50,M,Vänsterpartiet,V
Mona Olsson,64,K,Vänsterpartiet,V
Ingrid Westlund,73,K,Vänsterpartiet,V
Carolin Dasander,36,K,Vänsterpartiet,V
Stefan Alström,67,M,Vänsterpartiet,V
Sara Perlman,48,K,Vänsterpartiet,V
Franco Sincic,68,M,Vänsterpartiet,V
Malin Östh,50,K,Vänsterpartiet,V
Maj-Viol Axelius-Thostrup,72,K,Vänsterpartiet,V
Jörgen Malmström,52,M,Vänsterpartiet,V
Elin Andersson,24,K,Vänsterpartiet,V
Olof Carlstein,36,M,Vänsterpartiet,V
Emma Wahlström,45,K,Vänsterpartiet,V
Björn Alling,41,M,Vänsterpartiet,V
Sofia Frithioff,45,K,Vänsterpartiet,V
Karolina Eriksson,44,K,Vänsterpartiet,V
Marcus Posada,33,M,Vänsterpartiet,V
Kerstin Sagström,72,K,Vänsterpartiet,V
Tobias Holmberg,29,M,Vänsterpartiet,V
Åselill Gighorn,40,K,Vänsterpartiet,V
Eva Lindblad,75,K,Vänsterpartiet,V
Elin Melander,36,K,Vänsterpartiet,V
Annika Kaiser,39,K,Vänsterpartiet,V
Elin Gjein,29,K,Vänsterpartiet,V
Ingvar Frid,72,M,Vänsterpartiet,V
Jessica Eek,41,K,Vänsterpartiet,V
Anders Lind,73,M,Vänsterpartiet,V
Lilibet Gustafsson,57,K,Vänsterpartiet,V
Nicklas Lundström,42,M,Vänsterpartiet,V
Amy Berglund,23,K,Vänsterpartiet,V
Jonas Andersson,53,M,Vänsterpartiet,V
Carina Ödebrink,60,K,Arbetarepartiet-Socialdemokraterna,S
Besim Matoshi,39,M,Arbetarepartiet-Socialdemokraterna,S
Veronica Holmstedt,50,K,Arbetarepartiet-Socialdemokraterna,S
Evagelos Varsamis,50,M,Arbetarepartiet-Socialdemokraterna,S
Aneth Amundson,55,K,Arbetarepartiet-Socialdemokraterna,S
Eskil Carlström,23,M,Arbetarepartiet-Socialdemokraterna,S
