NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Gustav Kasselstrand,35,M,Alternativ för Sverige,AfS
Evelina Hahne,27,K,Alternativ för Sverige,AfS
Claes Lindh,65,M,Alternativ för Sverige,AfS
Arne Johansson,71,M,Alternativ för Sverige,AfS
Lars-Anders Espert,80,M,Alternativ för Sverige,AfS
Ulf Larsson,59,M,Alternativ för Sverige,AfS
Mattias From,30,M,Alternativ för Sverige,AfS
Mattias Dahlgren,20,M,Alternativ för Sverige,AfS
Marie Axelsson Ahl,64,K,Alternativ för Sverige,AfS
Eva Pettersson,62,K,Alternativ för Sverige,AfS
Roger Ivargren,66,M,Alternativ för Sverige,AfS
Mikael Jansson,57,M,Alternativ för Sverige,AfS
Ola Ulvås,52,M,Alternativ för Sverige,AfS
Joakim Isheden,31,M,Alternativ för Sverige,AfS
Christian Peterson,20,M,Alternativ för Sverige,AfS
Iván Knézy,72,M,Alternativ för Sverige,AfS
Lotta Appelqvist,63,K,Alternativ för Sverige,AfS
Axel W Karlsson,74,M,Alternativ för Sverige,AfS
Jonas Serneholt,47,M,Alternativ för Sverige,AfS
Per-Olof Henningsson,79,M,Alternativ för Sverige,AfS
Hans-Olof Karlsson,66,M,Alternativ för Sverige,AfS
Per Hansson,55,M,Alternativ för Sverige,AfS
Jeff Ahl,35,M,Alternativ för Sverige,AfS
Urban Larsson,61,M,Alternativ för Sverige,AfS
Eva Dillner,69,K,Alternativ för Sverige,AfS
Anders Bergström,54,M,Alternativ för Sverige,AfS
Börje Brandhill,75,M,Alternativ för Sverige,AfS
Lars Helgesson,69,M,Alternativ för Sverige,AfS
Steve Svensson,66,M,Alternativ för Sverige,AfS
Erling Hansen,73,M,Alternativ för Sverige,AfS
Johan Wadenbäck,48,M,Alternativ för Sverige,AfS
Christer Backéus,65,M,Alternativ för Sverige,AfS
Joanna Barnes,54,K,Alternativ för Sverige,AfS
Per Sefastsson,36,M,Alternativ för Sverige,AfS
Christoffer Brinkåker,30,M,Alternativ för Sverige,AfS
Allan Jönsson,59,M,Alternativ för Sverige,AfS
Marcus Jonsson,47,M,Alternativ för Sverige,AfS
Patrik Drevestedt,45,M,Alternativ för Sverige,AfS
Christine Bivefors,60,K,Alternativ för Sverige,AfS
Andreas Feymark,38,M,Alternativ för Sverige,AfS
Yvonne Lindholm,56,K,Alternativ för Sverige,AfS
Sven Valerio,47,M,Alternativ för Sverige,AfS
Mikael Simm,33,M,Alternativ för Sverige,AfS
Lennart Matikainen,59,M,Alternativ för Sverige,AfS
Anders Ygeman,52,M,Arbetarepartiet-Socialdemokraterna,S
Elsemarie Bjellqvist,78,K,Arbetarepartiet-Socialdemokraterna,S
Sultan Kayhan,34,K,Arbetarepartiet-Socialdemokraterna,S
Curre Hansson,74,M,Arbetarepartiet-Socialdemokraterna,S
Camila Salazar Atías,50,K,Arbetarepartiet-Socialdemokraterna,S
Jamal El Mourabit,47,M,Arbetarepartiet-Socialdemokraterna,S
Teres Lindberg,47,K,Arbetarepartiet-Socialdemokraterna,S
Bawer Kevir,59,M,Arbetarepartiet-Socialdemokraterna,S
Karin Lekberg,57,K,Arbetarepartiet-Socialdemokraterna,S
Elvir Kazinic,51,M,Arbetarepartiet-Socialdemokraterna,S
Annika Strandhäll,47,K,Arbetarepartiet-Socialdemokraterna,S
Frida Bengtsson,40,K,Arbetarepartiet-Socialdemokraterna,S
Gustav Österman,28,M,Arbetarepartiet-Socialdemokraterna,S
Alma Carlsson,24,K,Arbetarepartiet-Socialdemokraterna,S
Andreas Lind,35,M,Arbetarepartiet-Socialdemokraterna,S
Irene Dolk Castellanos,79,K,Arbetarepartiet-Socialdemokraterna,S
Carl-Michael Palmér,21,M,Arbetarepartiet-Socialdemokraterna,S
Emmelie Renlund,33,K,Arbetarepartiet-Socialdemokraterna,S
Abebe Hailu,69,M,Arbetarepartiet-Socialdemokraterna,S
Anna Quarnström,37,K,Arbetarepartiet-Socialdemokraterna,S
Filmon Gorfu Bitew,29,M,Arbetarepartiet-Socialdemokraterna,S
Kadir Kasirga,47,M,Arbetarepartiet-Socialdemokraterna,S
Lowisa Lowe Ivman Anderzon,46,K,Arbetarepartiet-Socialdemokraterna,S
Sven Britton,84,M,Arbetarepartiet-Socialdemokraterna,S
Ulrika Lorentzi,55,K,Arbetarepartiet-Socialdemokraterna,S
Hans Palmqvist,56,M,Arbetarepartiet-Socialdemokraterna,S
Kajsa Borgnäs,40,K,Arbetarepartiet-Socialdemokraterna,S
Emil Stensson,34,M,Arbetarepartiet-Socialdemokraterna,S
Fadumo Igal,56,K,Arbetarepartiet-Socialdemokraterna,S
Stefan Johansson,34,M,Arbetarepartiet-Socialdemokraterna,S
Andrea Törnestam,31,K,Arbetarepartiet-Socialdemokraterna,S
Celal Altun,62,M,Arbetarepartiet-Socialdemokraterna,S
Lawen Redar,32,K,Arbetarepartiet-Socialdemokraterna,S
Solveig Holmgren,82,K,Arbetarepartiet-Socialdemokraterna,S
Daniel Carlstedt,37,M,Arbetarepartiet-Socialdemokraterna,S
Felicia Schartner Giertta,34,K,Arbetarepartiet-Socialdemokraterna,S
Rolf Lindell,81,M,Arbetarepartiet-Socialdemokraterna,S
Emelie Stark,32,K,Arbetarepartiet-Socialdemokraterna,S
Carl-Fredrik Arvidson,37,M,Arbetarepartiet-Socialdemokraterna,S
Ewa Carlsson Hallberg,65,K,Arbetarepartiet-Socialdemokraterna,S
Ove Andersson,70,M,Arbetarepartiet-Socialdemokraterna,S
Johanna Nyman,32,K,Arbetarepartiet-Socialdemokraterna,S
Ellinor Vikman Rindevall,36,K,Arbetarepartiet-Socialdemokraterna,S
Mattias Vepsä,42,M,Arbetarepartiet-Socialdemokraterna,S
Eva-Louise Erlandsson Slorach,78,K,Arbetarepartiet-Socialdemokraterna,S
Jytte Guteland,42,K,Arbetarepartiet-Socialdemokraterna,S
Markus Kallifatides,50,M,Arbetarepartiet-Socialdemokraterna,S
Mirja Räihä,63,K,Arbetarepartiet-Socialdemokraterna,S
Daniel Vencu Velasquez Castro,27,M,Arbetarepartiet-Socialdemokraterna,S
Jan Jäger,55,M,Basinkomstpartiet,NA
Lena Stark,59,K,Basinkomstpartiet,NA
Andreas Kuoppa,28,M,Basinkomstpartiet,NA
Linda Dyrefelt,61,K,Basinkomstpartiet,NA
Fredrik Eriksson,48,M,Basinkomstpartiet,NA
Roger Harrysson,59,M,Basinkomstpartiet,NA
Sara Ekberg,47,K,Basinkomstpartiet,NA
Johan Jaxner,48,M,Basinkomstpartiet,NA
"Zara Csóri, Levi",24,M,Bjornpartiet,NA
Annie Lööf,39,K,Centerpartiet,C
Anders Karlsson,60,M,Centerpartiet,C
Christofer Bergenblock,47,M,Centerpartiet,C
Sofia Nilsson,40,K,Centerpartiet,C
Helena Vilhelmsson,57,K,Centerpartiet,C
Niels Paarup-Petersen,44,M,Centerpartiet,C
Jonny Cato,28,M,Centerpartiet,C
Ulrika Liljeberg,53,K,Centerpartiet,C
Anders W Jonsson,61,M,Centerpartiet,C
Daniel Bäckström,46,M,Centerpartiet,C
Martina Johansson,47,K,Centerpartiet,C
Linda Modig,47,K,Centerpartiet,C
Helena Lindahl,50,K,Centerpartiet,C
Ulrika Heie,57,K,Centerpartiet,C
Anders Dahlberg,35,M,Centerpartiet,C
Anders Wigelsbo,47,M,Centerpartiet,C
Anne-Li Sjölund,56,K,Centerpartiet,C
Stihna J Evertsson,45,K,Centerpartiet,C
Mikael Larsson,33,M,Centerpartiet,C
Per Schöldberg,59,M,Centerpartiet,C
Kevin Ny,43,M,Centerpartiet,C
Hanna Wagenius,33,K,Centerpartiet,C
Martin Ådahl,52,M,Centerpartiet,C
Lars Thomsson,58,M,Centerpartiet,C
Alireza Akhondi,41,M,Centerpartiet,C
Anna Lasses,45,K,Centerpartiet,C
Elisabeth Thand Ringqvist,50,K,Centerpartiet,C
Malin Björk,52,K,Centerpartiet,C
Max Törnkvist,33,M,Centerpartiet,C
Kristin Yderfors,41,K,Centerpartiet,C
Anneli Kihlstrand,55,K,Centerpartiet,C
Eva Andersson,62,K,Centerpartiet,C
Freija Carlstén,31,K,Centerpartiet,C
Muharrem Demirok,45,M,Centerpartiet,C
Beata Allen,56,K,Centerpartiet,C
Mari-Louise Wernersson,57,K,Centerpartiet,C
Leif Sandberg,54,M,Centerpartiet,C
Maria Comstedt,54,K,Centerpartiet,C
Emelie Nyman,23,K,Centerpartiet,C
Madeleine Atlas,54,K,Centerpartiet,C
Hans Johansson,49,M,Centerpartiet,C
Caroline Schmidt,61,K,Centerpartiet,C
Mona Smedman,47,K,Centerpartiet,C
Victoria Barrsäter,40,K,Centerpartiet,C
Kerstin Lundgren,67,K,Centerpartiet,C
Madelaine Jakobsson,44,K,Centerpartiet,C
Tobias Leverin,49,M,Centerpartiet,C
Elisabeth Johansson,55,K,Centerpartiet,C
Anna Gunstad Bäckman,44,K,Centerpartiet,C
Anton Li Nilsson,33,M,Centerpartiet,C
Anton Ångman,28,M,Centerpartiet,C
Anna Östborg,39,K,Centerpartiet,C
Emma Blomdahl-Wahlberg,32,K,Centerpartiet,C
Angelica Karlsson,43,K,Centerpartiet,C
Ingrid Hermansson,58,K,Centerpartiet,C
Rickard Nordin,39,M,Centerpartiet,C
Tom Silverklo,47,M,Centerpartiet,C
Gabriella Hammarskjöld,48,K,Centerpartiet,C
Hanna Stenegren,39,K,Centerpartiet,C
Johan Hedin,53,M,Centerpartiet,C
Stina Larsson,45,K,Centerpartiet,C
Anders Ådahl,50,M,Centerpartiet,C
Catarina Deremar,56,K,Centerpartiet,C
Ashna Ibrahim,43,K,Centerpartiet,C
Svante Linusson,52,M,Centerpartiet,C
Gabriel Bergin,35,M,Centerpartiet,C
Kristin Jacobsson,45,K,Centerpartiet,C
Thomas Wihlman,73,M,Centerpartiet,C
Patrick Amofah,44,M,Centerpartiet,C
Diana Van Rabén,31,K,Centerpartiet,C
Maja Boström,40,K,Centerpartiet,C
Paul Philip Abrigo,35,M,Centerpartiet,C
Raisa Lång Velazco,53,K,Centerpartiet,C
Lars Rottem Krangnes,43,M,Centerpartiet,C
Rebecka Pershagen,36,K,Centerpartiet,C
Ingrid Leek,32,K,Centerpartiet,C
Mathias Mellgren Helge,45,M,Centerpartiet,C
Ylva Skoogberg,46,K,Centerpartiet,C
Patrik Stålgren,52,M,Centerpartiet,C
Sandra Bergendorff,46,K,Centerpartiet,C
Robert Steffens,26,M,Centerpartiet,C
Henrik Falk,37,M,Centerpartiet,C
Erik Thonfors,48,M,Centerpartiet,C
Eva Koch,56,K,Centerpartiet,C
Anders Bengtsson,48,M,Centerpartiet,C
Magnus Eriksson,73,M,Centerpartiet,C
Kenneth Nilsson,31,M,Centerpartiet,C
Sofia Jöngren,45,K,Centerpartiet,C
Fredrik Lindstål,46,M,Centerpartiet,C
Ellinor Moberg,72,K,Centerpartiet,C
Claes Nyberg,51,M,Centerpartiet,C
Réka Tolnai,24,K,Centerpartiet,C
Erik Steen,42,M,Common sense in Sweden,CSIS
Claudio Palacios Telilier,42,M,Common sense in Sweden,CSIS
Kim Alexander Alfredsson,39,M,Common sense in Sweden,CSIS
Hani Halilovic,41,K,Direktdemokraterna,DD
Carl Hashmi,45,M,Direktdemokraterna,DD
Christer Wessberg,47,M,Direktdemokraterna,DD
Fredrik Lundström,51,M,Direktdemokraterna,DD
Bo Hans Wennström,76,M,Direktdemokraterna,DD
Mikael Fexby,59,M,Direktdemokraterna,DD
Ivan Midjich,52,M,Direktdemokraterna,DD
Jan Isefalk,65,M,Direktdemokraterna,DD
Thomas Larsson,53,M,Direktdemokraterna,DD
Jesper Ek,25,M,Direktdemokraterna,DD
Andreas Karlsson,29,M,Direktdemokraterna,DD
Dipen Purohit,59,M,Direktdemokraterna,DD
Fredrick Östlund,50,M,Direktdemokraterna,DD
Johan Larsson,37,M,Direktdemokraterna,DD
Lennie Niit,62,M,Direktdemokraterna,DD
"Wall, Rickard",65,M,En Vis Avskaffar Asylrätten!,EVA
"Möller Thornell, Jai",61,M,Enhet,ENH
"Andersson, Annica",64,K,Enhet,ENH
"Helsing, Robert",54,M,Enhet,ENH
"Meyer Sjöblom, Hannah",42,K,Enhet,ENH
"Wåhlström, Ulf",77,M,Enhet,ENH
"McAlister, David Christopher",59,M,Enhet,ENH
"Skog, Ulla",66,K,Enhet,ENH
"Axner, Anders",72,M,Enhet,ENH
"Örtengren, Jessica",45,K,Enhet,ENH
"Wigertz, Karin Gunilla Alexandra",62,K,Enhet,ENH
"Richardson, Lisbeth",71,K,Enhet,ENH
"Hansson, Göran",66,M,Enhet,ENH
"Backensved, Anders",57,M,Enhet,ENH
"Palmén, Lars",56,M,Enhet,ENH
"Ronovsky, Vitek",36,M,Enhet,ENH
"Oliv, Pernilla",54,K,Enhet,ENH
"Sikter, Benny",68,M,Enhet,ENH
"Albinsson, Adrian",32,M,Enhet,ENH
"Vasilescu, Silviu",40,M,Enskild person/Riksdagen val,NA
Sara Ivansson,45,K,FAMILJENS FRIHET,NA
Edeysi Vivanco Gonzales,54,K,FAMILJENS FRIHET,NA
Jessica Hajen,34,K,FAMILJENS FRIHET,NA
Victoria Wallström Kareem,34,K,FAMILJENS FRIHET,NA
Lilian Triveno,48,K,FAMILJENS FRIHET,NA
Benjamin Gemerra Legua,78,M,FAMILJENS FRIHET,NA
"Edeysi Vivanco Gonzales,",54,K,FAMILJENS FRIHET,NA
Benjamin Alfredo Gemerra Legua,78,M,FAMILJENS FRIHET,NA
"Bagley, Irina",65,K,Fattigmans parti,NA
Teysir Subhi,35,K,Feministiskt initiativ,FI
Gerd Holmgren,69,K,Feministiskt initiativ,FI
Ida Adlerberth Håkansson,23,K,Feministiskt initiativ,FI
Karin Ploen,54,K,Feministiskt initiativ,FI
Agnes Lundgren,36,K,Feministiskt initiativ,FI
Karin Larson,66,K,Feministiskt initiativ,FI
Leia Nordin,33,K,Feministiskt initiativ,FI
Joar Alvdal,38,M,Feministiskt initiativ,FI
Peter Alex,40,M,Feministiskt initiativ,FI
Gudrun Tiberg,77,K,Feministiskt initiativ,FI
Sengül Köse Lindqvist,43,K,Feministiskt initiativ,FI
Marielle Alvdal,33,K,Feministiskt initiativ,FI
Lennart Markebo,68,M,Feministiskt initiativ,FI
Tomas Agnemo,47,M,Feministiskt initiativ,FI
Elias Rudberg,46,M,Feministiskt initiativ,FI
Gun Lindberg,67,K,Feministiskt initiativ,FI
Christine Brännvall,35,K,Feministiskt initiativ,FI
Stina Sewén,32,K,Feministiskt initiativ,FI
Ewelina Axell,44,K,Feministiskt initiativ,FI
Luis Lineo,46,M,Feministiskt initiativ,FI
Martin Jordö,48,M,Feministiskt initiativ,FI
Anja Probst,41,K,Feministiskt initiativ,FI
Jaime Gomez,61,M,Feministiskt initiativ,FI
"Lendi, Maria",63,K,FN Parti art.27,NA
"Davidsson, Yngve",61,M,Fredspartiet,NA
"Brolin, Thomas",55,M,Fria Wermland,NA
"Eriksson, Nické",51,M,Fria Wermland,NA
"Ljungvall, Karl",47,M,Fritt val,NA
"Vivenius, Leif Eddy",81,M,Fritt val,NA
"Larsson, Kristoffer",43,M,Fritt val,NA
"Hernefeldt, Jimmy",57,M,Fritt val,NA
"Shukur, Saad",57,M,Förenade Demokratiska Partiet,NA
"Shaheen, Kemal",67,M,Förenade Demokratiska Partiet,NA
"Abukar, Warda Abdulkadir",27,K,Förenade Demokratiska Partiet,NA
"Malke, Ghattas",54,M,Förenade Demokratiska Partiet,NA
"Santina Al Jarkas, Mariam",46,K,Förenade Demokratiska Partiet,NA
"Alobaid Alwardi, Rami",26,M,Förenade Demokratiska Partiet,NA
"Björk, Li",71,K,Företaget Sverige,NA
Magnus Jönsson,53,M,Klassiskt liberala partiet,KLP
Daniel Strandlund,32,M,Klassiskt liberala partiet,KLP
Mats Jangdal,68,M,Klassiskt liberala partiet,KLP
Gert-Åke Rosqvist,49,M,Klassiskt liberala partiet,KLP
Kaj Nyström,46,M,Klassiskt liberala partiet,KLP
Lisa Missing,48,K,Klassiskt liberala partiet,KLP
Gudrun Schyman,74,K,Klimatalliansen,KA
Janine OKeeffe,58,K,Klimatalliansen,KA
Axel Hörestrand,20,M,Klimatalliansen,KA
Mariam Jallow Tholozan,42,K,Klimatalliansen,KA
Toya Westberg,54,K,Klimatalliansen,KA
Elvin Landaeus Csizmadia,22,M,Klimatalliansen,KA
Ellie Elmondt,36,K,Klimatalliansen,KA
Amilcare Astone,47,M,Klimatalliansen,KA
Frida Panoussis,42,K,Klimatalliansen,KA
Johanna Hargö,55,K,Klimatalliansen,KA
Karl Gustav (KG) Hammar,79,M,Klimatalliansen,KA
Åsa Sahlström,44,K,Klimatalliansen,KA
Tove Adlerberth,42,K,Klimatalliansen,KA
Malin Nicander,50,K,Klimatalliansen,KA
Jonathan Gall,34,M,Klimatalliansen,KA
Awad Olwan,76,M,Klimatalliansen,KA
Luka Vestergaard,43,M,Klimatalliansen,KA
Johanna Martinsson,41,K,Klimatalliansen,KA
Stina Svensson,52,K,Klimatalliansen,KA
Jiang Millington,51,K,Klimatalliansen,KA
Linus Svensson,51,M,Klimatalliansen,KA
William Grönlund,48,M,Klimatalliansen,KA
Patrik Opacic,39,M,Klimatalliansen,KA
Linus Valtersson,38,M,Klimatalliansen,KA
Britta Kahanpää,80,K,Klimatalliansen,KA
Lotta Lemte,60,K,Klimatalliansen,KA
Anna Broström,51,K,Klimatalliansen,KA
Felix Holmquist,27,M,Klimatalliansen,KA
Carmen Magaly Frithiofsson,41,K,Klimatalliansen,KA
Jeanette Lindh,54,K,Klimatalliansen,KA
Jonas Norberg,54,M,Klimatalliansen,KA
Linda Lindström,42,K,Klimatalliansen,KA
Runa Alakoski,24,K,Klimatalliansen,KA
Ola Gabrielsson,69,M,Klimatalliansen,KA
Sanna Landgren,64,K,Klimatalliansen,KA
Ahnie Gottberg,64,K,Klimatalliansen,KA
Suzanne Wallman,68,K,Klimatalliansen,KA
Gun Lidman-Nilsson,74,K,Klimatalliansen,KA
Lis Hellström,65,K,Klimatalliansen,KA
Anders Willberger,48,M,Klimatalliansen,KA
Eva Lenke,53,K,Klimatalliansen,KA
Kristina Mårtensson,68,K,Klimatalliansen,KA
Petra Schagerholm,59,K,Klimatalliansen,KA
Jan Lindblad,52,M,Klimatalliansen,KA
Mats Helander,63,M,Klimatalliansen,KA
Ann Åkerskog,56,K,Klimatalliansen,KA
Pontus Bergendahl,53,M,Klimatalliansen,KA
Ulf Bejerstrand,67,M,Knapptryckarna,NA
Rikard Högberg,65,M,Knapptryckarna,NA
Annika Markén,60,K,Knapptryckarna,NA
S. Håkan Bergmark,63,M,Knapptryckarna,NA
Anders Eskeröd,54,M,Knapptryckarna,NA
Anna Hallén Buitenhuis,57,K,Knapptryckarna,NA
Roland Björklund,61,M,Knapptryckarna,NA
Kristina Valerie,62,K,Knapptryckarna,NA
Magnus Svärd,54,M,Knapptryckarna,NA
Lars Åke Jansson,56,M,Knapptryckarna,NA
Johanna Maneka Helleberg,44,K,Knapptryckarna,NA
Bo Jonsson,41,M,Knapptryckarna,NA
Ian Durgé,57,M,Knapptryckarna,NA
Mikael Christensen,59,M,Knapptryckarna,NA
Rosita Bolin,58,K,Knapptryckarna,NA
Göran Dandelo,73,M,Knapptryckarna,NA
Anders Jöelaid,47,M,Knapptryckarna,NA
Jenny Lindstedt,45,K,Knapptryckarna,NA
Benny Astor,64,M,Knapptryckarna,NA
Robin Johansson,36,M,Knapptryckarna,NA
Eddie Andersson,54,M,Knapptryckarna,NA
Mikael Nordfors,63,M,Knapptryckarna,NA
Joel Widengren,61,M,Knapptryckarna,NA
Regina Jobs Axelsson,59,K,Knapptryckarna,NA
Daniel Jülke,51,M,Knapptryckarna,NA
Anneli Ritäkt-Evensson,76,K,Knapptryckarna,NA
Anette Blom Thomasson,59,K,Knapptryckarna,NA
Ingemar Ljungkvist,73,M,Knapptryckarna,NA
Rickard Hermés Costan,42,M,Knapptryckarna,NA
Christoffer Steverin,42,M,Knapptryckarna,NA
Olavi Kivikoski,74,M,Knapptryckarna,NA
Mathias Gyllengahm,47,M,Knapptryckarna,NA
Tony Karlsson,53,M,Knapptryckarna,NA
Emil Borg,43,M,Knapptryckarna,NA
Carina Persson,51,K,Knapptryckarna,NA
Per Gunnar Strandberg,79,M,Knapptryckarna,NA
Gunnar Johansson,63,M,Knapptryckarna,NA
Marianne Liljeholt,70,K,Knapptryckarna,NA
Marie Jakobsson,54,K,Knapptryckarna,NA
Robin Törnlind,40,M,Knapptryckarna,NA
Öystein Rönne,65,M,Knapptryckarna,NA
Peer Norbäck,55,M,Knapptryckarna,NA
Ebba Busch,35,K,Kristdemokraterna,KD
Hans Eklind,55,M,Kristdemokraterna,KD
Magnus Oscarsson,52,M,Kristdemokraterna,KD
Cecilia Engström,49,K,Kristdemokraterna,KD
Magnus Jacobsson,54,M,Kristdemokraterna,KD
Veronica Kerr,52,K,Kristdemokraterna,KD
Mathias Bengtsson,24,M,Kristdemokraterna,KD
Sarah Kullgren,28,K,Kristdemokraterna,KD
Patrik Åkesson,56,M,Kristdemokraterna,KD
Soheila Fors,56,K,Kristdemokraterna,KD
Stephen Jerand,67,M,Kristdemokraterna,KD
Jakob Forssmed,47,M,Kristdemokraterna,KD
Elise Arnell,39,K,Kristdemokraterna,KD
Hedvig Åkesson,25,K,Kristdemokraterna,KD
Kjell-Arne Ottosson,47,M,Kristdemokraterna,KD
Lili André,52,K,Kristdemokraterna,KD
Magnus Berntsson,49,M,Kristdemokraterna,KD
Anna Lipinska,50,K,Kristdemokraterna,KD
Larry Söder,53,M,Kristdemokraterna,KD
Johanna Holmdahl,40,K,Kristdemokraterna,KD
Johan Ingerö,43,M,Kristdemokraterna,KD
Acko Ankarberg Johansson,57,K,Kristdemokraterna,KD
Gudrun Brunegård,64,K,Kristdemokraterna,KD
Samuel Ek,49,M,Kristdemokraterna,KD
Anna Zelvin,37,K,Kristdemokraterna,KD
Bengt Jönsson,60,M,Kristdemokraterna,KD
Ella Kardemark,38,K,Kristdemokraterna,KD
Samuel Stengård,50,M,Kristdemokraterna,KD
Sara Lidqvist,44,K,Kristdemokraterna,KD
Dan Hovskär,52,M,Kristdemokraterna,KD
Liisa Sveningsson,74,K,Kristdemokraterna,KD
Mikael Bäckström,60,M,Kristdemokraterna,KD
Andreas Carlson,35,M,Kristdemokraterna,KD
Magda Ayoub,69,K,Kristdemokraterna,KD
Roland Utbult,71,M,Kristdemokraterna,KD
Liza-Maria Norlin,42,K,Kristdemokraterna,KD
Peter Kullgren,41,M,Kristdemokraterna,KD
Nike Örbrink,25,K,Kristdemokraterna,KD
Yusuf Aydin,40,M,Kristdemokraterna,KD
Camilla Brodin,43,K,Kristdemokraterna,KD
Evin Badrniya,24,K,Kristdemokraterna,KD
Jan-Eric Lundqvist,66,M,Kristdemokraterna,KD
Erik Slottner,42,M,Kristdemokraterna,KD
Désirée Pethrus,63,K,Kristdemokraterna,KD
Edvin Bernhardsson,29,M,Kristdemokraterna,KD
Michaela Hollis,42,K,Kristdemokraterna,KD
Anton Roos,26,M,Kristdemokraterna,KD
Ulrika Hoff,39,K,Kristdemokraterna,KD
Mikael Valier,58,M,Kristdemokraterna,KD
Frida Bondesson,34,K,Kristdemokraterna,KD
Christian Olofsson,40,M,Kristdemokraterna,KD
Juliette Walldov,22,K,Kristdemokraterna,KD
Jonatan Hedin,39,M,Kristdemokraterna,KD
Margaretha Åkerberg,77,K,Kristdemokraterna,KD
Bertil Fredriksson,78,M,Kristdemokraterna,KD
Lisbeth Friman,58,K,Kristdemokraterna,KD
Christian Carlsson,35,M,Kristdemokraterna,KD
Mario Moya Jeldres,57,M,Kristdemokraterna,KD
Destiny Näslund,24,K,Kristdemokraterna,KD
Georgios Gultidis,30,M,Kristdemokraterna,KD
Erika Eriksson,34,K,Kristdemokraterna,KD
Staffan Ericsson,67,M,Kristdemokraterna,KD
Frida Bramstedt,27,K,Kristdemokraterna,KD
Lucas Svärd,22,M,Kristdemokraterna,KD
Fredrik Wallén,52,M,Kristdemokraterna,KD
Mats Selander,54,M,Kristna Värdepartiet,KrVP
Martin Book,37,M,Kristna Värdepartiet,KrVP
André Juthe,51,M,Kristna Värdepartiet,KrVP
Mikael Almqvist,62,M,Kristna Värdepartiet,KrVP
EwyMaria Berglund,75,K,Kristna Värdepartiet,KrVP
Mats Hedenby,61,M,Kristna Värdepartiet,KrVP
Melinda Engström,20,K,Kristna Värdepartiet,KrVP
Roger Gillberg,55,M,Kristna Värdepartiet,KrVP
Johannes Axelsson,41,M,Kristna Värdepartiet,KrVP
Gunilla Staxäng,72,K,Kristna Värdepartiet,KrVP
Bertil Funck,57,M,Kristna Värdepartiet,KrVP
Annette Westöö,45,K,Kristna Värdepartiet,KrVP
Plamen Najdenov,69,M,Kristna Värdepartiet,KrVP
Peter Edwardsson,57,M,Kristna Värdepartiet,KrVP
Sofi Lindahl,39,K,Kristna Värdepartiet,KrVP
Jani Almenoksa,57,M,Kristna Värdepartiet,KrVP
Zoltan Paska,57,M,Kristna Värdepartiet,KrVP
Ulrik Karlsson,44,M,Kristna Värdepartiet,KrVP
Susanne Rogesund,59,K,Kristna Värdepartiet,KrVP
David Rus,21,M,Kristna Värdepartiet,KrVP
Bo Westin,71,M,Kristna Värdepartiet,KrVP
Birgitta Skåring-Gustafsdotter,86,K,Kristna Värdepartiet,KrVP
Patrik Tikkanen,48,M,Kristna Värdepartiet,KrVP
Hans-Olov Forsby,52,M,Kristna Värdepartiet,KrVP
Margareta Sundbom,84,K,Kristna Värdepartiet,KrVP
Ralf Nilsson,77,M,Kristna Värdepartiet,KrVP
Stefan Pehrson,62,M,Kristna Värdepartiet,KrVP
Larissa Vickman,68,K,Kristna Värdepartiet,KrVP
Markus Tengelin,35,M,Kristna Värdepartiet,KrVP
Ivon Darmark,76,K,Kristna Värdepartiet,KrVP
Dick Olsson,67,M,Kristna Värdepartiet,KrVP
Per-Olof Artursson,67,M,Kristna Värdepartiet,KrVP
Sören Eklöf,75,M,Kristna Värdepartiet,KrVP
Anne Bjernhagen,73,K,Kristna Värdepartiet,KrVP
Sune Ceder,72,M,Kristna Värdepartiet,KrVP
Zofia Svensson,69,K,Kristna Värdepartiet,KrVP
Anders Göth,70,M,Kristna Värdepartiet,KrVP
Johnny Zverzina,61,M,Kristna Värdepartiet,KrVP
Jan-Erik Wittler,75,M,Kristna Värdepartiet,KrVP
Gullan Malmquist,79,K,Kristna Värdepartiet,KrVP
Markus Ekwall,45,M,Kristna Värdepartiet,KrVP
Sharon Peterson,42,K,Kristna Värdepartiet,KrVP
Tuula Laine,57,K,Kristna Värdepartiet,KrVP
Sven Olov Sörman,65,M,Kristna Värdepartiet,KrVP
Per Kronlid,70,M,Kristna Värdepartiet,KrVP
Elof Ängdahl,24,M,Kristna Värdepartiet,KrVP
Jan Öqvist,72,M,Kristna Värdepartiet,KrVP
Magnus Folkegård,52,M,Kristna Värdepartiet,KrVP
Niklas Hugosson,49,M,Kristna Värdepartiet,KrVP
Bengt-Olov Söderkvist,60,M,Kristna Värdepartiet,KrVP
Anna Ekman,61,K,Kristna Värdepartiet,KrVP
Lars Borgström,49,M,Kristna Värdepartiet,KrVP
Charbel Rizk,30,M,Kristna Värdepartiet,KrVP
"Singh, Kuldip",69,M,KSP,NA
Pia-Maria Johansson,63,K,Landsbygdspartiet Oberoende,LPo
Ulla-Carin Grafström,69,K,Landsbygdspartiet Oberoende,LPo
André Önnebro,41,M,Landsbygdspartiet Oberoende,LPo
Erica Åhström,53,K,Landsbygdspartiet Oberoende,LPo
Åsa Gärdén,58,K,Landsbygdspartiet Oberoende,LPo
Benneth Thyr,51,M,Landsbygdspartiet Oberoende,LPo
